name,category,qlib_expression,fields_used,price_basis,registry_status,formal_eligible,expected_sign,expected_decay_days,neutralization,rationale
mom_continuous_info_252d,Momentum,"Sign(Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 253) - 1) * (Count((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1) > 0, 252) - Count((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1) < 0, 252)) / 252",$adj_factor;$close,adjusted,approved,yes,+,60,"industry,size,liquidity",Information-discreteness / frog-in-the-pan momentum: many same-direction small moves should continue better than lumpy jumps (Da-Gurun-Warachka 2014).
risk_parkinson_logrange_20d,Volatility,"Mean(Power(Log(Ref(($high * $adj_factor), 1) / Ref(($low * $adj_factor), 1)), 2), 20)",$adj_factor;$high;$low,adjusted,approved,yes,-,20,"industry,size,liquidity",Correct log high-low range variance; fixes the proposal's range-ratio factor mislabeled as Parkinson volatility.
risk_gap_vol_20d,Volatility,"Std(Ref(($open * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1, 20)",$adj_factor;$close;$open,adjusted,approved,yes,-,20,"industry,size,liquidity",A-share overnight/T+1 gap risk: high close-to-next-open volatility is adverse tradability and crowding risk.
liq_roll_spread_low_20d,Liquidity,"0 - (2 * Power(If(Cov((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), Ref((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), 1), 20) < 0, 0 - Cov((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), Ref((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1), 1), 20), 0), 0.5))",$adj_factor;$close,adjusted,approved,yes,+,20,"industry,size",Roll effective-spread proxy; higher factor value means lower inferred spread / better tradability.
liq_zero_ret_ex_susp_20d,Liquidity,"Sum(If(Abs((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1)) < 0.0001, If(Ref($vol, 1) > 0, 1, 0), 0), 20) / 20",$adj_factor;$close;$vol,adjusted+raw_volume,approved,yes,-,20,"industry,size","Lesmond-style zero-return illiquidity excluding zero-volume suspension days, reducing contamination from non-trading states."
rev_high_turnover_1d,Reversal,"0 - ((Ref(($close * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1) * Ref($turnover_rate_f, 1))",$adj_factor;$close;$turnover_rate_f,adjusted+raw_turnover,approved,yes,+,5,"industry,size,liquidity",T+1/retail microstructure: high-turnover selloffs tend to mean-revert faster than quiet selloffs; interaction beats plain rev_return_1d.
rev_gap_reversal_1d,Reversal,"0 - (Ref(($open * $adj_factor), 1) / Ref(($close * $adj_factor), 2) - 1)",$adj_factor;$close;$open,adjusted,approved,yes,+,2,"industry,size,liquidity",Overnight gap reversal / T+1 inventory pressure; complements the catalog's averaged overnight-return factor.
tech_high_breakout_age_250d,Technical,"0 - IdxMax(Ref(($high * $adj_factor), 1), 250)",$adj_factor;$high,adjusted,approved,yes,+,30,"industry,size,liquidity",52-week-high recency: recent high-watermark breakouts are distinct from simple close/high proximity.
qual_piotroski_fscore_9pt,Quality,"If(Ref($n_income_attr_p_sq_q0, 1) > 0, 1, 0) + If(Ref($n_cashflow_act_sq_q0, 1) > 0, 1, 0) + If(Ref($n_cashflow_act_sq_q0, 1) > Ref($n_income_attr_p_sq_q0, 1), 1, 0) + If(Ref($n_income_attr_p_sq_q0, 1) / Ref($total_assets_q0, 1) > Ref($n_income_attr_p_sq_q4, 1) / Ref($total_assets_q4, 1), 1, 0) + If(Ref($total_liab_q0, 1) / Ref($total_assets_q0, 1) < Ref($total_liab_q4, 1) / Ref($total_assets_q4, 1), 1, 0) + If(Ref($total_cur_assets_q0, 1) / Ref($total_cur_liab_q0, 1) > Ref($total_cur_assets_q4, 1) / Ref($total_cur_liab_q4, 1), 1, 0) + If(Ref($total_share, 1) <= Ref($total_share, 251), 1, 0) + If((Ref($total_revenue_sq_q0, 1) - Ref($oper_cost_sq_q0, 1)) / Ref($total_revenue_sq_q0, 1) > (Ref($total_revenue_sq_q4, 1) - Ref($oper_cost_sq_q4, 1)) / Ref($total_revenue_sq_q4, 1), 1, 0) + If(Ref($total_revenue_sq_q0, 1) / Ref($total_assets_q0, 1) > Ref($total_revenue_sq_q4, 1) / Ref($total_assets_q4, 1), 1, 0)",$n_cashflow_act_sq_q0;$n_income_attr_p_sq_q0;$n_income_attr_p_sq_q4;$oper_cost_sq_q0;$oper_cost_sq_q4;$total_assets_q0;$total_assets_q4;$total_cur_assets_q0;$total_cur_assets_q4;$total_cur_liab_q0;$total_cur_liab_q4;$total_liab_q0;$total_liab_q4;$total_revenue_sq_q0;$total_revenue_sq_q4;$total_share,raw,unknown_field,no,+,250,"industry,size,value","Piotroski-style profitability, leverage/liquidity/funding, and operating-efficiency score using statement line-items (Piotroski 2000)."
acc_total_accruals_ttm,Accruals,"((Ref($n_income_attr_p_sq_q0, 1) + Ref($n_income_attr_p_sq_q1, 1) + Ref($n_income_attr_p_sq_q2, 1) + Ref($n_income_attr_p_sq_q3, 1)) - (Ref($n_cashflow_act_sq_q0, 1) + Ref($n_cashflow_act_sq_q1, 1) + Ref($n_cashflow_act_sq_q2, 1) + Ref($n_cashflow_act_sq_q3, 1))) / ((Ref($total_assets_q0, 1) + Ref($total_assets_q4, 1)) / 2)",$n_cashflow_act_sq_q0;$n_cashflow_act_sq_q1;$n_cashflow_act_sq_q2;$n_cashflow_act_sq_q3;$n_income_attr_p_sq_q0;$n_income_attr_p_sq_q1;$n_income_attr_p_sq_q2;$n_income_attr_p_sq_q3;$total_assets_q0;$total_assets_q4,raw,unknown_field,no,-,250,"industry,size,value","Sloan accruals with TTM single-quarter flows over average assets, avoiding cumulative-quarter seasonality."
